,attribute_id,attribute_name,attribute_type,attribute_word,frequency
0,0,culture::abruzzi,culture,abruzzi,18
1,1,culture::achaemenid,culture,achaemenid,100
2,2,culture::aegean,culture,aegean,14
3,3,culture::afghan,culture,afghan,3
4,4,culture::after british,culture,after british,13
5,5,culture::after german,culture,after german,17
6,6,culture::after german original,culture,after german original,4
7,7,culture::after italian,culture,after italian,3
8,8,culture::after russian original,culture,after russian original,14
9,9,culture::akkadian,culture,akkadian,28
10,10,culture::alexandria-hadra,culture,alexandria-hadra,10
11,11,culture::algerian,culture,algerian,1
12,12,culture::alsace,culture,alsace,14
13,13,culture::american,culture,american,9151
14,14,culture::american or european,culture,american or european,408
15,15,culture::amsterdam,culture,amsterdam,34
16,16,culture::ansbach,culture,ansbach,12
17,17,culture::antwerp,culture,antwerp,20
18,18,culture::apulian,culture,apulian,121
19,19,culture::arabian,culture,arabian,7
20,20,culture::aragon,culture,aragon,4
21,21,culture::arica,culture,arica,5
22,22,culture::asia minor,culture,asia minor,22
23,23,culture::assyrian,culture,assyrian,244
24,24,culture::atlantic watershed,culture,atlantic watershed,41
25,25,culture::attic,culture,attic,676
26,26,culture::augsburg,culture,augsburg,177
27,27,culture::augsburg decoration,culture,augsburg decoration,13
28,28,culture::augsburg original,culture,augsburg original,12
29,29,culture::austrian,culture,austrian,530
30,30,culture::avignon,culture,avignon,5
31,31,culture::avon,culture,avon,5
32,32,culture::aztec,culture,aztec,72
33,33,culture::babylonian,culture,babylonian,292
34,34,culture::babylonian or kassite,culture,babylonian or kassite,4
35,35,culture::bactria-margiana archaeological complex,culture,bactria-margiana archaeological complex,119
36,36,culture::balinese,culture,balinese,3
37,37,culture::bavaria,culture,bavaria,7
38,38,culture::bayreuth,culture,bayreuth,10
39,39,culture::beautiran,culture,beautiran,3
40,40,culture::beauvais,culture,beauvais,48
41,41,culture::belgian,culture,belgian,141
42,42,culture::berlin,culture,berlin,50
43,43,culture::birmingham,culture,birmingham,82
44,44,culture::boeotian,culture,boeotian,35
45,45,culture::bohemian,culture,bohemian,515
46,46,culture::bologna,culture,bologna,11
47,47,culture::bordeaux,culture,bordeaux,9
48,48,culture::bow,culture,bow,34
49,49,culture::brescia,culture,brescia,12
50,50,culture::bristol,culture,bristol,29
51,51,culture::british,culture,british,7615
52,52,culture::british or french,culture,british or french,17
53,53,culture::british or scottish,culture,british or scottish,3
54,54,culture::brunswick,culture,brunswick,10
55,55,culture::brussels,culture,brussels,106
56,56,culture::burma,culture,burma,10
57,57,culture::burslem,culture,burslem,33
58,58,culture::byzantine,culture,byzantine,240
59,59,culture::calima,culture,calima,22
60,60,culture::cambodia,culture,cambodia,74
61,61,culture::campanian,culture,campanian,71
62,62,culture::canaanite,culture,canaanite,11
63,63,culture::canosan,culture,canosan,13
64,64,culture::castel durante,culture,castel durante,13
65,65,culture::catalan,culture,catalan,72
66,66,culture::catalonia,culture,catalonia,11
67,67,culture::caucasian,culture,caucasian,22
68,68,culture::caughley,culture,caughley,8
69,69,culture::central asia,culture,central asia,43
70,70,culture::central european,culture,central european,831
71,71,culture::central highlands,culture,central highlands,2
72,72,culture::central italian,culture,central italian,12
73,73,culture::chalcidian,culture,chalcidian,7
74,74,culture::chantilly,culture,chantilly,29
75,75,culture::chaumont-sur-loire,culture,chaumont-sur-loire,24
76,76,culture::chelsea,culture,chelsea,133
77,77,culture::chelsea-derby,culture,chelsea-derby,14
78,78,culture::chimu,culture,chimu,146
79,79,culture::china,culture,china,5382
80,80,culture::chinese with dutch decoration,culture,chinese with dutch decoration,5
81,81,culture::chinese with european decoration,culture,chinese with european decoration,1
82,82,culture::chinese with french mounts,culture,chinese with french mounts,6
83,83,culture::chiriqui,culture,chiriqui,28
84,84,culture::chorrera,culture,chorrera,8
85,85,culture::chupicuaro,culture,chupicuaro,16
86,86,culture::colima,culture,colima,44
87,87,culture::colombian,culture,colombian,10
88,88,culture::colonial,culture,colonial,4
89,89,culture::colonial american,culture,colonial american,19
90,90,culture::copenhagen,culture,copenhagen,30
91,91,culture::corinthian,culture,corinthian,59
92,92,culture::coromandel coast,culture,coromandel coast,4
93,93,culture::costa rica,culture,costa rica,22
94,94,culture::costa rica or panama,culture,costa rica or panama,3
95,95,culture::cretan,culture,cretan,43
96,96,culture::crete,culture,crete,61
97,97,culture::cyclades,culture,cyclades,13
98,98,culture::cycladic,culture,cycladic,19
99,99,culture::cypriot,culture,cypriot,1327
100,100,culture::cypriot or phoenician,culture,cypriot or phoenician,3
101,101,culture::czech,culture,czech,7
102,102,culture::danish,culture,danish,72
103,103,culture::deccan,culture,deccan,4
104,104,culture::dehua,culture,dehua,1
105,105,culture::delft,culture,delft,80
106,106,culture::derby,culture,derby,25
107,107,culture::deruta,culture,deruta,41
108,108,culture::devonshire,culture,devonshire,2
109,109,culture::dresden,culture,dresden,26
110,110,culture::dublin,culture,dublin,45
111,111,culture::dutch,culture,dutch,1762
112,112,culture::dyak,culture,dyak,1
113,113,culture::east greek,culture,east greek,60
114,114,culture::east greek/sardis,culture,east greek/sardis,58
115,115,culture::eastern european,culture,eastern european,5
116,116,culture::eastern mediterranean,culture,eastern mediterranean,127
117,117,culture::eastern mediterranean or italian,culture,eastern mediterranean or italian,17
118,118,culture::edinburgh,culture,edinburgh,6
119,119,culture::edomite,culture,edomite,7
