,attribute_id,attribute_name,attribute_type,attribute_word,frequency
813,813,tag::men,tag,men,19970
1092,1092,tag::women,tag,women,14281
147,147,culture::french,culture,french,13522
189,189,culture::italian,culture,italian,10375
13,13,culture::american,culture,american,9151
671,671,tag::flowers,tag,flowers,8419
51,51,culture::british,culture,british,7615
194,194,culture::japan,culture,japan,7394
1059,1059,tag::utilitarian objects,tag,utilitarian objects,6564
121,121,culture::egyptian,culture,egyptian,6542
896,896,tag::portraits,tag,portraits,5955
1046,1046,tag::trees,tag,trees,5591
79,79,culture::china,culture,china,5382
780,780,tag::leaves,tag,leaves,5259
156,156,culture::german,culture,german,5163
369,369,culture::turkish or venice,culture,turkish or venice,4416
744,744,tag::inscriptions,tag,inscriptions,3890
477,477,tag::birds,tag,birds,3692
738,738,tag::human figures,tag,human figures,3665
1034,1034,tag::textile fragments,tag,textile fragments,3570
188,188,culture::islamic,culture,islamic,3500
835,835,tag::mythical creatures,tag,mythical creatures,3005
903,903,tag::profiles,tag,profiles,2552
420,420,tag::animals,tag,animals,2548
1099,1099,tag::writing systems,tag,writing systems,2327
552,552,tag::clothing and accessories,tag,clothing and accessories,2180
485,485,tag::books,tag,books,2097
776,776,tag::landscapes,tag,landscapes,2075
161,161,culture::greek,culture,greek,2050
489,489,tag::bowls,tag,bowls,2045
1039,1039,tag::tools and equipment,tag,tools and equipment,2001
733,733,tag::horse riding,tag,horse riding,1895
304,304,culture::roman,culture,roman,1881
612,612,tag::dishes,tag,dishes,1789
111,111,culture::dutch,culture,dutch,1762
962,962,tag::seals,tag,seals,1744
487,487,tag::bottles,tag,bottles,1685
501,501,tag::buildings,tag,buildings,1667
1062,1062,tag::vases,tag,vases,1540
961,961,tag::sculpture,tag,sculpture,1526
541,541,tag::christ,tag,christ,1492
734,734,tag::horses,tag,horses,1480
483,483,tag::bodies of water,tag,bodies of water,1472
405,405,tag::actresses,tag,actresses,1457
737,737,tag::houses,tag,houses,1446
597,597,tag::decorative elements,tag,decorative elements,1428
480,480,tag::boats,tag,boats,1414
335,335,culture::spanish,culture,spanish,1403
718,718,tag::heads,tag,heads,1397
554,554,tag::coat of arms,tag,coat of arms,1390
99,99,culture::cypriot,culture,cypriot,1327
259,259,culture::netherlandish,culture,netherlandish,1302
663,663,tag::female nudes,tag,female nudes,1286
584,584,tag::cups,tag,cups,1283
616,616,tag::dogs,tag,dogs,1278
418,418,tag::angels,tag,angels,1260
434,434,tag::architecture,tag,architecture,1213
768,768,tag::lace,tag,lace,1200
833,833,tag::musical instruments,tag,musical instruments,1138
724,724,tag::hieroglyphs,tag,hieroglyphs,1083
993,993,tag::soldiers,tag,soldiers,1073
949,949,tag::saints,tag,saints,1053
626,626,tag::dresses,tag,dresses,1050
784,784,tag::lions,tag,lions,1016
1020,1020,tag::swords,tag,swords,977
698,698,tag::girls,tag,girls,965
1084,1084,tag::weapons,tag,weapons,961
492,492,tag::boys,tag,boys,959
830,830,tag::mountains,tag,mountains,957
872,872,tag::pendants,tag,pendants,956
754,754,tag::jewelry,tag,jewelry,921
800,800,tag::male nudes,tag,male nudes,902
538,538,tag::children,tag,children,901
433,433,tag::architectural fragments,tag,architectural fragments,888
542,542,tag::christian imagery,tag,christian imagery,866
464,464,tag::beads,tag,beads,859
212,212,culture::london,culture,london,838
70,70,culture::central european,culture,central european,831
1072,1072,tag::virgin mary,tag,virgin mary,816
283,283,culture::paris,culture,paris,810
615,615,tag::documents,tag,documents,810
131,131,culture::flemish,culture,flemish,787
1035,1035,tag::textiles,tag,textiles,775
650,650,tag::faces,tag,faces,773
498,498,tag::buddhism,tag,buddhism,766
639,639,tag::embroidery,tag,embroidery,750
579,579,tag::cross,tag,cross,745
1061,1061,tag::vase fragments,tag,vase fragments,744
955,955,tag::scarabs,tag,scarabs,682
25,25,culture::attic,culture,attic,676
404,404,tag::actors,tag,actors,676
559,559,tag::columns,tag,columns,672
796,796,tag::madonna and child,tag,madonna and child,637
430,430,tag::arches,tag,arches,636
655,655,tag::fans,tag,fans,630
975,975,tag::ships,tag,ships,627
519,519,tag::carriages,tag,carriages,622
1093,1093,tag::working,tag,working,622
624,624,tag::dragons,tag,dragons,613
670,670,tag::flags,tag,flags,600
231,231,culture::mexican,culture,mexican,595
180,180,culture::india,culture,india,593
858,858,tag::ornament,tag,ornament,593
716,716,tag::hats,tag,hats,583
436,436,tag::armors,tag,armors,582
758,758,tag::jugs,tag,jugs,582
182,182,culture::indonesia,culture,indonesia,580
668,668,tag::fish,tag,fish,570
950,950,tag::samples,tag,samples,568
764,764,tag::kings,tag,kings,566
415,415,tag::amulets,tag,amulets,565
494,494,tag::bridges,tag,bridges,564
746,746,tag::insignia,tag,insignia,560
580,580,tag::crowd,tag,crowd,555
634,634,tag::earrings,tag,earrings,551
184,184,culture::iran,culture,iran,545
886,886,tag::plants,tag,plants,543
532,532,tag::chairs,tag,chairs,540
29,29,culture::austrian,culture,austrian,530
378,378,culture::venice,culture,venice,523
923,923,tag::rivers,tag,rivers,518
45,45,culture::bohemian,culture,bohemian,515
742,742,tag::infants,tag,infants,515
844,844,tag::netsuke,tag,netsuke,504
127,127,culture::european,culture,european,499
125,125,culture::etruscan,culture,etruscan,494
922,922,tag::rings,tag,rings,493
1098,1098,tag::writing implements,tag,writing implements,487
543,543,tag::christianity,tag,christianity,481
598,598,tag::deer,tag,deer,480
931,931,tag::ruins,tag,ruins,477
313,313,culture::sasanian,culture,sasanian,467
704,704,tag::gods,tag,gods,462
753,753,tag::jesus,tag,jesus,461
1023,1023,tag::tablets,tag,tablets,454
747,747,tag::interiors,tag,interiors,453
586,586,tag::cutlery,tag,cutlery,446
603,603,tag::design elements,tag,design elements,440
720,720,tag::helmets,tag,helmets,433
583,583,tag::cupid,tag,cupid,427
774,774,tag::lamps,tag,lamps,422
952,952,tag::satire,tag,satire,422
953,953,tag::satyrs,tag,satyrs,413
14,14,culture::american or european,culture,american or european,408
227,227,culture::meissen,culture,meissen,403
682,682,tag::fruit,tag,fruit,399
821,821,tag::mirrors,tag,mirrors,393
339,339,culture::staffordshire,culture,staffordshire,388
582,582,tag::cuneiform,tag,cuneiform,387
974,974,tag::shields,tag,shields,382
428,428,tag::arabic,tag,arabic,373
1022,1022,tag::tables,tag,tables,371
703,703,tag::goddess,tag,goddess,369
954,954,tag::saucers,tag,saucers,369
308,308,culture::russian,culture,russian,368
239,239,culture::moche,culture,moche,362
684,684,tag::funerary objects,tag,funerary objects,358
465,465,tag::beakers,tag,beakers,357
809,809,tag::masks,tag,masks,355
520,520,tag::cartouches,tag,cartouches,354
462,462,tag::battles,tag,battles,338
573,573,tag::cows,tag,cows,332
581,581,tag::crucifixion,tag,crucifixion,332
558,558,tag::coins,tag,coins,329
940,940,tag::saint john the baptist,tag,saint john the baptist,329
348,348,culture::swiss,culture,swiss,328
545,545,tag::churches,tag,churches,327
592,592,tag::dancing,tag,dancing,327
438,438,tag::arrowheads,tag,arrowheads,323
725,725,tag::hills,tag,hills,322
322,322,culture::sevres,culture,sevres,317
925,925,tag::robes,tag,robes,312
633,633,tag::eagles,tag,eagles,303
1019,1019,tag::sword guards,tag,sword guards,303
497,497,tag::buddha,tag,buddha,302
493,493,tag::bracelets,tag,bracelets,298
665,665,tag::firearms,tag,firearms,297
595,595,tag::death,tag,death,296
506,506,tag::butterflies,tag,butterflies,295
331,331,culture::south italian,culture,south italian,293
33,33,culture::babylonian,culture,babylonian,292
916,916,tag::reading,tag,reading,290
587,587,tag::daggers,tag,daggers,289
745,745,tag::insects,tag,insects,286
503,503,tag::bulls,tag,bulls,284
236,236,culture::minoan,culture,minoan,281
515,515,tag::candlesticks,tag,candlesticks,273
1032,1032,tag::temples,tag,temples,273
568,568,tag::costumes,tag,costumes,270
202,202,culture::korea,culture,korea,269
803,803,tag::manuscripts,tag,manuscripts,269
647,647,tag::ewers,tag,ewers,266
766,766,tag::knives,tag,knives,265
517,517,tag::capitals,tag,capitals,263
783,783,tag::lighting,tag,lighting,262
991,991,tag::snakes,tag,snakes,262
978,978,tag::shoes,tag,shoes,258
691,691,tag::garlands,tag,garlands,257
707,707,tag::greek figures,tag,greek figures,257
553,553,tag::clouds,tag,clouds,256
726,726,tag::hilts,tag,hilts,256
133,133,culture::florence,culture,florence,254
432,432,tag::architectural elements,tag,architectural elements,254
490,490,tag::boxes,tag,boxes,254
488,488,tag::bow and arrow,tag,bow and arrow,253
994,994,tag::spears,tag,spears,253
1030,1030,tag::teapots,tag,teapots,251
1089,1089,tag::windows,tag,windows,251
23,23,culture::assyrian,culture,assyrian,244
534,534,tag::chariots,tag,chariots,244
524,524,tag::cats,tag,cats,243
58,58,culture::byzantine,culture,byzantine,240
607,607,tag::diamonds,tag,diamonds,240
840,840,tag::necklaces,tag,necklaces,239
637,637,tag::elephants,tag,elephants,236
1064,1064,tag::venus,tag,venus,236
786,786,tag::liturgical objects,tag,liturgical objects,234
282,282,culture::paracas,culture,paracas,233
819,819,tag::military equipment,tag,military equipment,233
690,690,tag::gardens,tag,gardens,230
728,728,tag::hinduism,tag,hinduism,229
1085,1085,tag::weights and measures,tag,weights and measures,228
884,884,tag::pins,tag,pins,227
450,450,tag::badges,tag,badges,226
834,834,tag::musicians,tag,musicians,225
822,822,tag::monkeys,tag,monkeys,224
908,908,tag::putti,tag,putti,223
482,482,tag::bodhisattva,tag,bodhisattva,221
713,713,tag::hands,tag,hands,221
1045,1045,tag::trays,tag,trays,220
332,332,culture::south netherlandish,culture,south netherlandish,219
445,445,tag::athletes,tag,athletes,219
695,695,tag::geometric patterns,tag,geometric patterns,219
756,756,tag::journals,tag,journals,218
563,563,tag::coptic,tag,coptic,216
971,971,tag::sheep,tag,sheep,216
864,864,tag::palmettes,tag,palmettes,215
354,354,culture::thailand,culture,thailand,210
721,721,tag::hercules,tag,hercules,208
252,252,culture::naples,culture,naples,207
1012,1012,tag::suffering,tag,suffering,207
890,890,tag::poetry,tag,poetry,206
518,518,tag::carpets and rugs,tag,carpets and rugs,205
570,570,tag::couples,tag,couples,205
739,739,tag::hunting,tag,hunting,205
701,701,tag::goats,tag,goats,204
889,889,tag::pocket watches,tag,pocket watches,204
672,672,tag::flutes,tag,flutes,203
705,705,tag::grapes,tag,grapes,202
929,929,tag::roses,tag,roses,200
678,678,tag::fountains,tag,fountains,196
1056,1056,tag::undergarment,tag,undergarment,195
832,832,tag::music,tag,music,194
1009,1009,tag::streets,tag,streets,193
983,983,tag::skeletons,tag,skeletons,188
495,495,tag::brooches,tag,brooches,186
628,628,tag::drinking glasses,tag,drinking glasses,186
548,548,tag::cities,tag,cities,185
927,927,tag::roosters,tag,roosters,184
811,811,tag::medallions,tag,medallions,182
555,555,tag::coats,tag,coats,181
963,963,tag::seas,tag,seas,181
1038,1038,tag::tombs,tag,tombs,180
870,870,tag::peacocks,tag,peacocks,179
910,910,tag::queens,tag,queens,179
26,26,culture::augsburg,culture,augsburg,177
631,631,tag::ducks,tag,ducks,177
675,675,tag::footwear,tag,footwear,176
988,988,tag::sleep,tag,sleep,174
992,992,tag::snow,tag,snow,173
620,620,tag::donkeys,tag,donkeys,170
924,924,tag::roads,tag,roads,170
426,426,tag::apostles,tag,apostles,169
688,688,tag::games,tag,games,167
871,871,tag::pediments,tag,pediments,167
621,621,tag::doors,tag,doors,165
1040,1040,tag::towers,tag,towers,162
638,638,tag::emblems,tag,emblems,160
731,731,tag::holy family,tag,holy family,160
1001,1001,tag::stairs,tag,stairs,160
973,973,tag::shepherds,tag,shepherds,159
1097,1097,tag::writing,tag,writing,158
306,306,culture::rome,culture,rome,157
692,692,tag::gates,tag,gates,156
989,989,tag::smoking,tag,smoking,156
849,849,tag::nymphs,tag,nymphs,155
522,522,tag::castles,tag,castles,153
826,826,tag::moon,tag,moon,153
280,280,culture::pakistan,culture,pakistan,152
551,551,tag::clocks,tag,clocks,150
627,627,tag::drinking,tag,drinking,150
676,676,tag::forests,tag,forests,150
383,383,culture::vienna,culture,vienna,148
972,972,tag::shells,tag,shells,148
996,996,tag::sphinx,tag,sphinx,148
791,791,tag::lotuses,tag,lotuses,147
912,912,tag::rabbits,tag,rabbits,147
932,932,tag::sadness,tag,sadness,147
78,78,culture::chimu,culture,chimu,146
591,591,tag::dancers,tag,dancers,146
863,863,tag::palaces,tag,palaces,144
1069,1069,tag::vines,tag,vines,143
1081,1081,tag::waterfalls,tag,waterfalls,143
425,425,tag::apollo,tag,apollo,142
41,41,culture::belgian,culture,belgian,141
888,888,tag::playing cards,tag,playing cards,141
448,448,tag::axes,tag,axes,140
887,887,tag::playing,tag,playing,139
508,508,tag::cabinets,tag,cabinets,137
985,985,tag::skulls,tag,skulls,137
1033,1033,tag::tents,tag,tents,137
1096,1096,tag::wreaths,tag,wreaths,137
576,576,tag::cranes,tag,cranes,135
76,76,culture::chelsea,culture,chelsea,133
680,680,tag::friezes,tag,friezes,133
496,496,tag::buckles,tag,buckles,131
825,825,tag::monuments,tag,monuments,130
829,829,tag::mothers,tag,mothers,130
915,915,tag::rams,tag,rams,129
741,741,tag::incense burners,tag,incense burners,128
116,116,culture::eastern mediterranean,culture,eastern mediterranean,127
511,511,tag::cameos,tag,cameos,127
1058,1058,tag::urns,tag,urns,126
600,600,tag::demons,tag,demons,124
629,629,tag::drums,tag,drums,124
732,732,tag::horns,tag,horns,124
1037,1037,tag::tigers,tag,tigers,124
507,507,tag::buttons,tag,buttons,123
