id,size_length,size_width,aspect_ratio
1000483014d91860,339,300,1.13
1000fe2e667721fe,423,300,1.41
1001614cb89646ee,365,300,1.216666667
10041eb49b297c08,300,358,0.837988827
100501c227f8beea,300,528,0.568181818
10050ed12fbad46d,300,400,0.75
100543a032517972,300,561,0.534759358
1006665c0aad488,300,502,0.597609562
1007057734dba6df,436,300,1.453333333
1008abd71f3ed5bc,300,351,0.854700855
1008c7837081f985,300,400,0.75
1009f5737fc77f2,489,300,1.63
100a0dcde728cb36,588,300,1.96
100a58282c6584bf,300,393,0.763358779
100b45b7c4020f5d,304,300,1.013333333
100bb499d37d0751,300,385,0.779220779
100bbf5e832083d3,300,459,0.653594771
100d750286e85bf3,377,300,1.256666667
100e1e65a6d7850e,400,300,1.333333333
100ef61c00e1b5d3,342,300,1.14
100efeead4d0f90c,301,300,1.003333333
100f00204964e81d,300,363,0.826446281
1010af4eeb3f95ee,449,300,1.496666667
1012a188a1fd6166,300,372,0.806451613
1014806043fa009,300,533,0.562851782
1014ac8807369589,311,300,1.036666667
1014daea6638d09a,300,520,0.576923077
101534933c122e23,300,300,1
1015ddcd27215ca6,300,374,0.802139037
101659003bdb1499,300,478,0.627615063
101690dc24813dc5,345,300,1.15
101695e8cefdc9c4,300,437,0.686498856
1016dc1b22073bb3,300,390,0.769230769
10175059b2aabb70,300,369,0.81300813
101861e383ec9973,300,367,0.817438692
1018a55fce131346,403,300,1.343333333
101b61e80e554985,300,330,0.909090909
101bedd1744689b2,300,321,0.934579439
101c55520bafa9f0,547,300,1.823333333
101c8394ff6db02d,439,300,1.463333333
101e360e69aeb7b6,449,300,1.496666667
101e477104fc2bf7,534,300,1.78
101eb6f95ea25ab0,449,300,1.496666667
101f35d791be34cb,300,396,0.757575758
101f3b30264f95bb,300,438,0.684931507
101f609f4bfff5e6,1279,300,4.263333333
1020048f6714ed,300,440,0.681818182
10217714ab515f45,389,300,1.296666667
10219d8d2441fd3c,300,515,0.582524272
1022d46462792863,364,300,1.213333333
10233e987552d468,418,300,1.393333333
1023eaa2b948cff2,300,337,0.890207715
10245fc5f0c1bc53,392,300,1.306666667
10246e16d17d9b85,478,300,1.593333333
1024cf6962950d3d,302,300,1.006666667
10260b5ce69150e3,300,400,0.75
1026fd05a949a6bf,300,400,0.75
1027bc2aeca8e1a8,300,426,0.704225352
1027e6c5c8e4c329,300,445,0.674157303
1028437b8bc9eeee,300,445,0.674157303
10287ba3d06139e0,300,300,1
102894db9ed6cf3f,399,300,1.33
1029d2328092ea5d,300,339,0.884955752
102a85e0df297631,300,354,0.847457627
102b178fae139a12,300,523,0.573613767
102b312da3240f83,300,341,0.879765396
102c9239c03b183,400,300,1.333333333
102cb701e5718d70,380,300,1.266666667
102ddf2255055175,400,300,1.333333333
102e0b4fbd90fa5d,300,307,0.977198697
10301a06071f5dc8,381,300,1.27
10303f46db29089c,300,527,0.569259962
1032b100196dfb0e,328,300,1.093333333
1.03306E+15,303,300,1.01
103356cb98f8432d,300,858,0.34965035
1033d832fd617e6,300,387,0.775193798
1033e9987c841d5c,677,300,2.256666667
1035395eac69843a,395,300,1.316666667
10357357806fd865,300,300,1
1035b7bb16ac6861,399,300,1.33
1036067570313a49,300,399,0.751879699
1037596d35059b86,1450,300,4.833333333
1037796180daaf55,374,300,1.246666667
103a729425811e95,300,300,1
103ac9a11af50a77,300,300,1
103afcfbd66b7564,300,313,0.958466454
103bbdc2619062b3,300,450,0.666666667
103bdf3269799137,300,300,1
103c45a513aa6019,300,520,0.576923077
103c9d42f39af074,300,302,0.993377483
103ea6481627ead1,508,300,1.693333333
10407b0ebada4963,300,328,0.914634146
10410b3e487c8d13,300,300,1
1041f41d8742b7da,300,375,0.8
1042b8fe16eaefb3,300,300,1
10430f003935ccc2,300,300,1
10440aa9ac074160,300,324,0.925925926
104468f87dfe4aee,300,437,0.686498856
10468bea041274a3,300,399,0.751879699
10472fb2606a173e,300,397,0.755667506
104737e74e765b8b,302,300,1.006666667
104748efce3447d7,401,300,1.336666667
104862b3c278b4f8,300,383,0.783289817
104869bde5162ef8,404,300,1.346666667
1048e4b13229f27d,375,300,1.25
104a2a7835758ff8,300,481,0.623700624
104a6def7a03f626,361,300,1.203333333
104aa6660ce67379,300,504,0.595238095
104ace4388140a92,300,400,0.75
104c4bfd6b5eec32,300,542,0.553505535
104cf95cd0726a22,300,400,0.75
104d25babe223640,300,300,1
104d4c7a540f3160,373,300,1.243333333
104db9cd6f85f477,300,373,0.804289544
104f8f58592109b9,300,353,0.849858357
104fb98e4eb995d,300,300,1
1050368940bb298d,300,364,0.824175824
10509f863ee42c3,385,300,1.283333333
105248bfa74c8b01,300,540,0.555555556
1052acf3ce58ad8d,300,541,0.554528651
1052bc4619187ebf,300,400,0.75
1053d5b9411fb370,388,300,1.293333333
10543f59c2488578,300,400,0.75
105468f53899f311,707,300,2.356666667
1055abe56bbddf45,300,338,0.887573964
1055d9d6bb38c6c3,300,470,0.638297872
1055e61cedb6b7c9,346,300,1.153333333
10567626ccf6a875,300,452,0.663716814
1056caff76d71c22,300,368,0.815217391
10576007b14c86bc,300,421,0.712589074
10584f896b8df034,300,399,0.751879699
1059ab8ed8210d87,501,300,1.67
1059ac4f9c6927b7,300,449,0.668151448
1059f1abf4e51a0,425,300,1.416666667
105a349858b25cce,300,432,0.694444444
105b43585eb70f2b,462,300,1.54
105b6c58db321045,764,300,2.546666667
105c132184cb8cc5,453,300,1.51
105d30f0ea817ab7,372,300,1.24
105d4e090ef5f0df,350,300,1.166666667
105da5a14dcb0be,386,300,1.286666667
105edd843d50258c,300,415,0.722891566
105f044288493432,300,399,0.751879699
105f7710cbca36ca,411,300,1.37
105fd7f1d727f27e,300,400,0.75
10601eb2e488d47a,300,423,0.709219858
10602ff85a021d75,300,528,0.568181818
1060d1d2c5dcbbb1,300,533,0.562851782
1060e7d52f2553c6,300,526,0.570342205
1061c7940c7bc80d,300,488,0.614754098
106262d2fca631ca,300,439,0.683371298
106435dcb8cac360,300,325,0.923076923
1064566646e00c3e,300,478,0.627615063
10645db40784f008,300,392,0.765306122
1064e2f969910edd,400,300,1.333333333
10654a33f45ea1d3,338,300,1.126666667
1066458a03e2306b,684,300,2.28
106724ee0d32ffd3,387,300,1.29
106742b32cf1d094,380,300,1.266666667
1067ade04b904fe4,300,414,0.724637681
1067b078ced21d1d,300,486,0.617283951
1067ff8364c025a4,337,300,1.123333333
106887047a084c8e,349,300,1.163333333
106a1554dd1f86c2,400,300,1.333333333
106a18ab95fb7790,300,456,0.657894737
106b1357e5ee8d8e,300,354,0.847457627
106bd87f14a2b633,300,401,0.748129676
106be64b6b99665c,300,417,0.71942446
106c48fc5d81b828,413,300,1.376666667
106c6d9c186a3b45,320,300,1.066666667
106d2309d5f5bb7c,300,443,0.677200903
106d7ecf197d60c1,450,300,1.5
106e8109a080210b,300,300,1
106f78ec4b3a99e9,334,300,1.113333333
106f814e5e75e001,300,506,0.592885375
106f82c5df033be8,300,460,0.652173913
1070892fcb5a4a88,300,409,0.733496333
1072e1fc4511ee65,300,328,0.914634146
1072e294c63d72f,463,300,1.543333333
1073bf212fd0f590,300,355,0.845070423
10750f487462cb3f,300,464,0.646551724
107585c9a97ad9f1,300,369,0.81300813
10769d444e5c1fda,300,447,0.67114094
1076fbeed28c448a,300,411,0.729927007
107730cac1f73e05,680,300,2.266666667
1077816007dca731,914,300,3.046666667
107859a3a0c8af54,323,300,1.076666667
1078652b44c57ac8,300,452,0.663716814
107913f4da228989,428,300,1.426666667
1079f1e9087407d5,303,300,1.01
107a470d72fdeb67,300,449,0.668151448
107a983aea8e482d,635,300,2.116666667
107aeac3c8c4b805,300,300,1
107b2d88d45d5e8b,300,430,0.697674419
107b59f0c6c1c031,300,401,0.748129676
107b83a0d70d1f76,337,300,1.123333333
107bec179f69a847,399,300,1.33
107d63bbcc9e878b,300,400,0.75
107dbb2762bf5b1,300,400,0.75
107ea49bc5e84c1a,300,309,0.970873786
1080136056661d33,300,366,0.819672131
1080d65daa637f,300,445,0.674157303
1081f7798f6de85f,300,435,0.689655172
108314ec9c5eb35a,300,486,0.617283951
10835cfcddef3db8,300,538,0.557620818
1083c782f3815c18,300,403,0.744416873
1083f4a7090a9fb3,430,300,1.433333333
1085d894b25fed0c,452,300,1.506666667
10865cc6255671a,300,536,0.559701493
10874de00c4020b8,300,815,0.36809816
1087549316e1473c,300,394,0.76142132
10877325e4f7c4aa,400,300,1.333333333
10880c537655e3f1,300,591,0.507614213
108865aaab8c0b63,300,389,0.771208226
108979416eb770da,300,513,0.584795322
10899e6204726b0a,300,533,0.562851782
108b79e2c099966b,449,300,1.496666667
108d00a03e41839a,354,300,1.18
108db74f6f6a1ba4,300,304,0.986842105
108f24e4bb73518a,419,300,1.396666667
108f332273288ec,753,300,2.51
108fb7a259fdcf84,300,414,0.724637681
108fd352128d4440,300,398,0.753768844
109124de4120f46b,300,533,0.562851782
109174b4056a9a9f,300,389,0.771208226
1092d76599f29b85,300,422,0.710900474
10933db83969cc33,300,320,0.9375
109396d38c801dbb,300,383,0.783289817
10953eff86938b43,428,300,1.426666667
1095e18da71d0e9,300,300,1
1097f2babb418d0c,300,401,0.748129676
10984ac8d2c0e354,300,499,0.601202405
109b3be3a04e99d6,387,300,1.29
109bca5e0c14e378,408,300,1.36
109d15ce81a1f198,450,300,1.5
109faa6a01ab6556,400,300,1.333333333
109fd3225d347aa,400,300,1.333333333
109fff4853e9c3a7,300,328,0.914634146
10a07f974955e989,300,374,0.802139037
10a0ec4efede439f,407,300,1.356666667
10a10a04372b7286,300,440,0.681818182
10a16bb84cd85b4f,300,427,0.702576112
10a1a0b30bac441b,300,524,0.572519084
10a25f43862d77ea,300,320,0.9375
10a39f5f44819cc6,300,400,0.75
10a43c7e5550dea3,300,357,0.840336134
10a44788830725d9,374,300,1.246666667
10a46f916f50d674,300,369,0.81300813
10a4cf14858bf51a,472,300,1.573333333
10a5ff981c5f7834,300,394,0.76142132
10a60a0a7dd37d4a,415,300,1.383333333
10a6a71370173804,300,409,0.733496333
10a803ca68b282ae,300,401,0.748129676
10a8428234789f20,406,300,1.353333333
10a8456eec10d7e,372,300,1.24
10a846b55339af9,471,300,1.57
10a84badb9dea3ff,300,302,0.993377483
10a867c49be92028,327,300,1.09
10a891d850b5ef09,348,300,1.16
10a894781c16b328,300,423,0.709219858
10a8b1fcc8f8c788,300,464,0.646551724
10a8b2a6ecb9083d,384,300,1.28
10a8eb3921fe3d06,462,300,1.54
10a8f09f29279295,450,300,1.5
10a9478373c442e2,300,434,0.69124424
10aa196520aa0cc,300,509,0.589390963
10ab00a597930469,300,339,0.884955752
10ad7538542018a3,388,300,1.293333333
10aec0fd87c3cf32,300,544,0.551470588
10af2d223f122077,300,408,0.735294118
10af3c12ac4e9efd,466,300,1.553333333
10af4b6e70560356,319,300,1.063333333
10af91e06b85d1b,398,300,1.326666667
10b00e03a18e7b8e,448,300,1.493333333
10b0768c90b762be,300,379,0.791556728
10b09cb5ac5341b3,300,469,0.639658849
10b0a91dbf512208,300,515,0.582524272
10b0bc3e6d6ea7b7,300,372,0.806451613
10b118c5db6daac,300,375,0.8
10b13c427fee1c2f,300,470,0.638297872
10b1c862212bc598,387,300,1.29
10b256ca2206a828,413,300,1.376666667
10b27b334c8c6603,300,394,0.76142132
10b30d34f1186970,300,306,0.980392157
10b32e1e3231bd35,300,406,0.738916256
10b457aa6a34e71e,300,421,0.712589074
10b461e598f1433e,346,300,1.153333333
10b509bc34be6e3c,300,366,0.819672131
10b50a812fe473a2,300,426,0.704225352
10b532aff170b3b2,476,300,1.586666667
10b56bfde7f3bccf,300,436,0.688073394
10b57e6a57480cb2,300,303,0.99009901
10b5ef8e9556d784,388,300,1.293333333
10b6db98b4b04dfa,303,300,1.01
10b72245402fc099,305,300,1.016666667
10b7c56e2af323f8,300,363,0.826446281
10b7c69153c39023,349,300,1.163333333
10b806643ff8bd68,300,526,0.570342205
10b9201896f26d4d,300,561,0.534759358
10ba23d6a51444d6,300,316,0.949367089
10ba350adbe4f9c4,402,300,1.34
10ba3b84ca8d657,390,300,1.3
10bacab36086b3a7,410,300,1.366666667
10bb70af09de67f0,300,433,0.692840647
10bbb78beee0ba07,425,300,1.416666667
10bc4d8c7b004851,300,419,0.715990453
10bdaaf7eee7d98c,328,300,1.093333333
10bdebf3df68d445,300,449,0.668151448
10c043db8d9aed42,300,354,0.847457627
10c06c5214058138,1000,300,3.333333333
10c1e18a654f7b61,300,377,0.795755968
10c22ed9f360802a,368,300,1.226666667
10c2e806c8afa3fc,322,300,1.073333333
10c3ec3c60a472d,354,300,1.18
10c40e10713c5a03,534,300,1.78
10c448a7398d8864,300,331,0.906344411
10c4e51e911e4267,300,485,0.618556701
10c5899973a8203e,300,365,0.821917808
10c5b7c3f05e813d,300,439,0.683371298
10c65a2ad0981056,300,345,0.869565217
10c794395494a108,354,300,1.18
10c79c480c233921,300,464,0.646551724
10c7a143a6ad8f9d,435,300,1.45
10c7d98c4f76cec4,300,333,0.900900901
10c8731fcf7a00ce,300,300,1
10c8803614f9301,300,315,0.952380952
10c8a4a71a35d94a,300,450,0.666666667
10c9014312e69550,300,449,0.668151448
10caad3451987e5,300,442,0.678733032
10cae95be1562716,300,384,0.78125
10cc583e769f4bdb,300,351,0.854700855
10ccb3d736c8c029,616,300,2.053333333
10ccf9c1e085a3e0,400,300,1.333333333
10cd45f369ce8ba7,300,400,0.75
10ce3b88b97b6872,300,860,0.348837209
10ce427d8c9575c4,300,503,0.596421471
10d0648ca103ff8e,300,380,0.789473684
10d06aa4044b1cd2,449,300,1.496666667
10d0962cb50d5af7,300,347,0.864553314
10d110e58843c7a9,300,300,1
10d30133795332c0,300,300,1
10d30c0587d68dea,300,414,0.724637681
10d3446f5c785a3,670,300,2.233333333
10d34493b796efa4,300,375,0.8
10d41631a66bb4f2,300,374,0.802139037
10d432c377d2b132,394,300,1.313333333
10d46e578ebc16c5,300,314,0.955414013
10d4bba764c1e97b,360,300,1.2
10d50ba4aa473d43,300,446,0.67264574
10d58380bed88b15,300,498,0.602409639
10d7ec63a417f39,300,500,0.6
10d815c00dc5b4be,348,300,1.16
10d90e980e8e7bbd,300,336,0.892857143
10d95b008ef31b7f,300,385,0.779220779
10d992b079bb058c,482,300,1.606666667
10da13f8c4815d32,300,307,0.977198697
10da1b0fde5c8ee4,300,300,1
10da4fbca0fdfa85,477,300,1.59
10db4c7337052f3e,300,323,0.92879257
10dc738fbea869e2,300,533,0.562851782
10de9b91be65e19a,300,488,0.614754098
10defe47fb2a4a80,300,400,0.75
10df3af1b5309ac9,424,300,1.413333333
10e052f23f48d073,300,319,0.940438871
10e063c541fc0b66,300,363,0.826446281
10e1d261b7e5e88a,300,526,0.570342205
10e26f0f4e0815fe,300,447,0.67114094
10e372249527c239,375,300,1.25
10e383139726cd5a,300,405,0.740740741
10e3f6b02163e303,300,347,0.864553314
10e446a8cfcef8ae,632,300,2.106666667
10e5f54745e092a7,316,300,1.053333333
10e61c5f0287989b,300,462,0.649350649
10e646f81d5affdb,300,441,0.680272109
10e71777c564084d,300,374,0.802139037
10e775dd6b22db10,400,300,1.333333333
10e8db299d411a66,300,399,0.751879699
10e92104324f3615,371,300,1.236666667
10e940311ed654f6,419,300,1.396666667
10e9725d4e2cd9f7,300,391,0.767263427
10e98c09b0d19fdc,443,300,1.476666667
10e9e83c6c56dcaa,397,300,1.323333333
10ead8a498067966,300,545,0.550458716
10eb71ce135652c9,300,398,0.753768844
10ebedb1a4756622,300,368,0.815217391
10ed4042b48a11e9,400,300,1.333333333
10ee645cbbe9dc9d,300,407,0.737100737
10ef3018c6eb59c4,300,300,1
10ef89e8ff149ab2,335,300,1.116666667
10f03d6613ece62b,330,300,1.1
10f0af79551b5cc4,300,477,0.628930818
10f0c9e35e7beabc,300,660,0.454545455
10f167022f30dfa1,705,300,2.35
10f2bd982510c777,300,301,0.996677741
10f2faa0eb2b169a,408,300,1.36
10f31be59a446685,450,300,1.5
10f411e87b7afc04,300,461,0.650759219
10f4333ac0595947,300,344,0.872093023
10f45e413e7b7709,300,314,0.955414013
10f4a87b72bd65db,411,300,1.37
10f4bcba31d25569,426,300,1.42
10f4f026276c6265,300,300,1
10f519faf2371ea6,300,399,0.751879699
10f56c4ce5c8d65b,300,569,0.527240773
10f5ef58a3cff828,400,300,1.333333333
10f66df84e5e4a04,386,300,1.286666667
10f7dbbc1c117e44,361,300,1.203333333
10f883a3b9b5e725,300,783,0.383141762
10f8d6932cdda703,375,300,1.25
10f9463bb544bde2,300,338,0.887573964
10f9f6ea61c292ca,300,451,0.66518847
10fa300376628e1e,300,390,0.769230769
10fa5ab07bf4141e,300,325,0.923076923
10fa67221f993839,300,375,0.8
10faa9d4e7e14cb3,445,300,1.483333333
10fb08077706f5c3,300,545,0.550458716
10fb4935546110fa,300,300,1
10fb81d56de0259,384,300,1.28
10fba831af307de5,434,300,1.446666667
10fbd53e248100b9,300,359,0.835654596
10fc2f111037514b,300,300,1
10fc846d1d61a261,433,300,1.443333333
10fc9a11fd9e39e6,380,300,1.266666667
10fd0cfd734496e3,300,1220,0.245901639
10fede70ff77e297,300,375,0.8
10ff6de57befb674,399,300,1.33
110045fa756d212d,445,300,1.483333333
11015efe875204db,300,404,0.742574257
1101673c7726cf06,300,491,0.610997963
110220451b7c0100,300,427,0.702576112
11024e89336ef3ca,300,365,0.821917808
1103c185f14d21d8,386,300,1.286666667
11040f70b06711f2,314,300,1.046666667
11044b74267e29e9,360,300,1.2
1104e49090bbac4c,384,300,1.28
110654a941e437b0,348,300,1.16
11070d8408ba6f02,300,373,0.804289544
1107213c7e63b1eb,300,345,0.869565217
11077a8b086212bb,300,300,1
11095c2720ef8e0d,300,400,0.75
11098377fd13afb2,360,300,1.2
1109f4ddd841c62d,349,300,1.163333333
110a560ee9c540e9,300,402,0.746268657
110a7e9442f01c50,356,300,1.186666667
110aab7eb9a13a3,391,300,1.303333333
110b8e8c399c3194,1103,300,3.676666667
110bd778b4392a9d,333,300,1.11
110c4d9be8d4436f,375,300,1.25
110cb4b2222eace8,300,494,0.607287449
110d666309733bd4,400,300,1.333333333
110f08390c860e1a,300,300,1
110f113afcbd53e1,300,301,0.996677741
110fb0b31f1d8c24,300,366,0.819672131
110fe08b1213baa5,300,451,0.66518847
1110eaac77920ad6,400,300,1.333333333
1111e16384ce318d,475,300,1.583333333
111314432ecc85a5,554,300,1.846666667
111325f85ba8abd2,300,406,0.738916256
1113c72fe9b495c2,466,300,1.553333333
1114801547ff8503,374,300,1.246666667
1114c5c9383fb97d,300,300,1
11150bbe63c7714a,488,300,1.626666667
1115a06dacfeff9a,300,463,0.647948164
1115a481d82334f1,300,449,0.668151448
11167fa073c71593,1152,300,3.84
1117f9f63117db86,300,451,0.66518847
11185f3e8e7ea2b9,368,300,1.226666667
1118868c62b10bbb,300,498,0.602409639
1118ee3763597d0a,300,535,0.560747664
111980554af57649,300,379,0.791556728
111af15a8edde73f,445,300,1.483333333
111b5bd55f106cdd,300,406,0.738916256
111bd835f376c282,306,300,1.02
111cd9f9af1a8947,796,300,2.653333333
111d1ce8c6087a4d,300,627,0.4784689
111d2ddeef1dfe0b,470,300,1.566666667
